Date,Close,High,Low,Open,Volume,TimeIndex
,AAPL,AAPL,AAPL,AAPL,AAPL,
2015-01-02,24.288591384887695,24.757345997422018,23.848716769760728,24.74623739345419,212818400,0
2015-01-05,23.60433006286621,24.137510563273064,23.41771781993756,24.05753340346533,257142000,3
2015-01-06,23.60655403137207,23.866478974309715,23.244434724352086,23.66875811738099,263188400,4
2015-01-07,23.937570571899414,24.037541186337343,23.704303544965192,23.81538275875591,160423600,5
2015-01-08,24.857309341430664,24.915071014189344,24.148623329110514,24.2663687337548,237458000,6
2015-01-09,24.88396644592285,25.159442427054685,24.484080590300568,25.030590129694804,214798000,7
2015-01-12,24.27080535888672,25.021700145626117,24.170834756205902,25.015035664771943,198603200,10
2015-01-13,24.486305236816406,25.059474458800445,24.195278202485493,24.755116764583843,268367600,11
2015-01-14,24.39299774169922,24.546285914954115,24.104191087561126,24.224156850283055,195826400,12
2015-01-15,23.73095703125,24.450749675943126,23.69541257339217,24.43742071611317,240056000,13
2015-01-16,23.54656982421875,23.89980258382863,23.371064473774545,23.777614778160455,314053200,14
2015-01-20,24.153066635131836,24.20860624689587,23.659874611477722,23.9575661169644,199599600,18
2015-01-21,24.33745765686035,24.672915679210643,24.05309343135395,24.204161237587133,194303600,19
2015-01-22,24.970611572265625,24.986162596873307,24.375226823817112,24.495192597191203,215185600,20
2015-01-23,25.099456787109375,25.27051800940202,24.777326090029074,24.948389007255805,185859200,21
2015-01-26,25.12611961364746,25.40603972695871,25.059473097577246,25.268300881851875,222460000,24
2015-01-27,24.246366500854492,24.98837640334662,24.2219289424083,24.97504574741797,382274800,25
2015-01-28,25.617088317871094,26.241354665962845,25.617088317871094,26.132495813648262,585908400,26
2015-01-29,26.414640426635742,26.47906658146117,25.672630311520884,25.841471210548402,337745600,27
2015-01-30,26.0280818939209,26.659011007530673,25.959211629596137,26.30355786641712,334982000,28
2015-02-02,26.354650497436523,26.47461623735488,25.788147591911834,26.225799913021184,250956400,31
2015-02-03,26.359094619750977,26.456843163643637,26.128049679300354,26.325770520611485,207662800,32
2015-02-04,26.56125831604004,26.772309817405812,26.283560310243587,26.325770949503564,280598800,33
2015-02-05,26.750844955444336,26.8155253737393,26.59695010841068,26.76868647989312,168984800,34
2015-02-06,26.52557373046875,26.819980096729665,26.418516096545073,26.76868125718588,174826400,35
2015-02-09,26.7017765045166,26.728539641570595,26.414060869820496,26.44082570849816,155559200,38
2015-02-10,27.214752197265625,27.24374786000545,26.799908323654723,26.802137450309015,248034000,39
2015-02-11,27.852632522583008,27.861554133931936,27.32180940949719,27.38202815907323,294247200,40
2015-02-12,28.205032348632812,28.432529214905024,28.00653114859303,28.11581792463633,297898000,41
2015-02-13,28.34331703186035,28.387923396573573,28.024376589451972,28.387923396573573,217088800,42
2015-02-17,28.510591506958008,28.744779159785324,28.307628647624515,28.434758650170412,252609600,46
2015-02-18,28.709095001220703,28.722476570465375,28.425839306967546,28.465985716325328,179566800,47
2015-02-19,28.648868560791016,28.77822937525331,28.622105427883923,28.65555934401779,149449600,48
