Date,Close,High,Low,Open,Volume,TimeIndex
,MSFT,MSFT,MSFT,MSFT,MSFT,
2015-01-02,39.99870681762695,40.56327357006327,39.81052007555399,39.913167686058216,27913900,0
2015-01-05,39.63087844848633,39.973038173178736,39.56244454568299,39.66509213677991,39673900,3
2015-01-06,39.04920196533203,39.99014525430785,38.955106983812854,39.67364662264987,36447900,4
2015-01-07,39.545345306396484,39.74208792824616,38.912347873159945,39.33149420485003,29114100,5
2015-01-08,40.708683013916016,40.845547545323676,39.964482328331094,39.990143408248834,29645200,6
2015-01-09,40.36652374267578,40.90542931195018,40.11845900021701,40.725795209894756,23944200,7
2015-01-12,39.861846923828125,40.66592921254686,39.65655167874481,40.56327832689611,23651900,10
2015-01-13,39.65653991699219,40.982415797202464,39.399919305194736,40.17833701007495,35270600,11
2015-01-14,39.31438064575195,39.553896067452705,39.02354305470052,39.31438064575195,29719600,12
2015-01-15,38.90378189086914,39.67364696159602,38.843903859046826,39.53678242270102,32750800,13
2015-01-16,39.553890228271484,39.58810391508497,38.63860476496695,38.75836408969195,35695300,14
2015-01-20,39.68221664428711,39.90462365514336,38.98078517271169,39.60523010408447,36161900,18
2015-01-21,39.28015899658203,39.46834896333392,38.90378232618628,39.29726747202384,39081100,19
2015-01-22,40.31520462036133,40.32375722739159,39.41703077919931,39.67365141051583,35898000,20
2015-01-23,40.357975006103516,40.537609125383554,40.03292045947171,40.51194804066024,26211600,21
2015-01-26,40.21254348754883,40.31519432434634,39.5538852318562,40.203990882702804,42525500,24
2015-01-27,36.49153137207031,36.95345027550201,36.021059865141154,36.73959929388811,169164000,25
2015-01-28,35.23408508300781,36.602733265983915,35.20842401048117,36.55996372407054,84507100,26
2015-01-29,35.935523986816406,36.029618957770666,34.89193322749696,35.01168927667234,63585300,27
2015-01-30,34.55833053588867,35.5677077398126,34.51555771595839,35.542043395232824,78004900,28
2015-02-02,35.31108093261719,35.38806743373048,34.41290726170065,34.72085326615381,50352500,31
2015-02-03,35.584808349609375,35.86709326172076,35.11433675919799,35.61047269086979,52082400,32
2015-02-04,35.79010772705078,36.10660633084513,35.37951415002111,35.87564683193325,41614800,33
2015-02-05,36.31190490722656,36.47443051244595,35.80721635478901,36.115162354663816,36548200,34
2015-02-06,36.277706146240234,36.60276078273968,36.055302403230726,36.508665761928576,34616600,35
2015-02-09,36.234920501708984,36.55997499404427,36.10660857330856,36.13227291685338,31381100,38
2015-02-10,36.440216064453125,36.58563646908259,36.08094788202961,36.55997538836889,29670700,39
2015-02-11,36.25202560424805,36.482985096020485,36.10660521471388,36.482985096020485,38262500,40
2015-02-12,36.859375,36.859375,36.36323889148696,36.491550854201364,33268800,41
2015-02-13,37.52658462524414,37.52658462524414,36.91069576624538,37.10743835789441,40264900,42
2015-02-17,37.5438117980957,37.90563675330237,37.207827257264974,37.879793052596234,33695700,46
2015-02-18,37.500736236572266,37.64719154847332,37.380127912848074,37.586887386611224,27111700,47
2015-02-19,37.47489547729492,37.500739181170715,37.087223487505064,37.19921834818449,27603400,48
2015-02-20,37.785030364990234,37.80226059511786,37.29398030850927,37.48350626725238,29721100,49
2015-02-23,38.03486633300781,38.06932350925249,37.60412040980877,37.647194344862555,32518800,52
2015-02-24,37.98318099975586,38.16409352431251,37.83672565630686,38.034871700913925,25271700,53
2015-02-25,37.89702224731445,37.98317010486999,37.73333671709677,37.86256178976019,29759800,54
2015-02-26,37.95733642578125,38.10378847955571,37.81088108567581,37.89703225230577,28957300,55
2015-02-27,37.77641296386719,38.07793705647358,37.61273070993593,38.01763289521836,33807700,56
2015-03-02,37.802268981933594,38.06932939233588,37.517975051249884,37.62135316862073,31924000,59
2015-03-03,37.28536605834961,37.759189202905915,37.121683790622356,37.52658601003207,31748600,60
2015-03-04,37.0958366394043,37.225058432549204,36.94076785856618,37.05275942202571,25748700,61
2015-03-05,37.138912200927734,37.25090705563435,36.889078789016985,37.10445174004409,23193500,62
